Loja,Grupo,Subgrupo,              Produto,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,Total 
7578 - ESPETTO CARIOCA BARRA MALL,BEBIDAS,CHOPP,133 - TULIPA AMSTEL,3,0,3,0,0,6,0,0,1,15,1,7,9,9,6,2,2,2,7,1,1,0,0,2,0,12,0,1,0,0,0,90
7578 - ESPETTO CARIOCA BARRA MALL,BEBIDAS,CHOPP,134 - TULIPA HEINEKEN,2,1,0,4,12,0,0,1,30,2,16,21,0,8,7,22,2,5,5,3,3,3,1,2,6,2,2,0,8,0,6,174
7578 - ESPETTO CARIOCA BARRA MALL,BEBIDAS,CHOPP,135 - CANECA ZERO GRAU AMSTEL,19,38,24,10,13,8,38,1,3,16,0,26,69,30,27,45,22,15,56,15,8,19,101,8,0,46,10,19,39,1,0,726
7578 - ESPETTO CARIOCA BARRA MALL,BEBIDAS,CHOPP,136 - CANECA ZERO GRAU HEINEKEN,15,40,15,8,21,1,3,4,24,26,37,6,4,21,11,25,5,19,80,18,9,55,64,11,2,8,6,11,15,16,29,609
7578 - ESPETTO CARIOCA BARRA MALL,ALIMENTOS,COPA,137 - TULIPA HEINEKEN COPA,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
7578 - ESPETTO CARIOCA BARRA MALL,ALIMENTOS,COPA,139 - TULIPA HEINEKEN GOL,0,1,0,0,19,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27
7578 - ESPETTO CARIOCA BARRA MALL,BEBIDAS,AGUAS E REFRIGERANTES,146 - AGUA SEM GAS,3,17,9,3,2,4,5,4,6,13,14,5,2,7,14,8,8,2,10,7,4,7,6,6,4,9,3,12,7,7,1,209
7578 - ESPETTO CARIOCA BARRA MALL,BEBIDAS,AGUAS E REFRIGERANTES,147 - AGUA COM GAS,3,3,6,3,1,6,4,4,4,6,6,7,4,6,8,6,2,1,3,3,4,9,6,5,3,7,3,5,3,0,0,131
7578 - ESPETTO CARIOCA BARRA MALL,ALIMENTOS,CARIOCA DO SEU JEITO,154 - ALMOCO CARIOCA 1 ESPETTO,1,21,3,3,5,12,5,4,12,3,5,10,6,6,10,8,1,1,10,1,4,3,4,3,1,9,3,8,3,1,0,166
7578 - ESPETTO CARIOCA BARRA MALL,ALIMENTOS,CARIOCA DO SEU JEITO,155 - ALMOCO DO SEU JEITO 2 ESPETTOS TRADICIONAIS,11,11,5,6,14,10,14,6,14,17,22,22,23,33,17,32,16,10,12,23,17,20,18,16,14,27,14,18,15,14,7,498
