Loja,Grupo,Subgrupo,              Produto,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,Total 
Loja,Grupo,Subgrupo,              Produto,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,Total 
7593 - ESPETTO CARIOCA PIRATININGA,BEBIDAS,DESTILADOS,114 - VODKA IMPORTADA,0,0,0,5,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,12
7593 - ESPETTO CARIOCA PIRATININGA,BEBIDAS,DESTILADOS,115 - VODKA IMPORTADA DOSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
7593 - ESPETTO CARIOCA PIRATININGA,BEBIDAS,DESTILADOS,116 - WHISKY 8 ANOS,0,1,2,4,2,1,1,4,0,6,8,0,1,0,7,0,2,6,3,2,5,8,1,2,0,0,0,0,1,1,0,68
7593 - ESPETTO CARIOCA PIRATININGA,BEBIDAS,DESTILADOS,117 - WHISKY 8 ANOS DOSE,0,0,0,0,1,1,0,1,0,0,2,1,1,0,3,0,0,5,0,1,5,3,1,1,0,0,0,0,0,3,0,29
7593 - ESPETTO CARIOCA PIRATININGA,BEBIDAS,DESTILADOS,118 - WHISKY 12 ANOS,9,1,0,3,0,0,1,5,0,2,1,4,3,0,3,0,2,2,0,4,10,7,0,7,0,0,0,0,1,0,0,65
7593 - ESPETTO CARIOCA PIRATININGA,BEBIDAS,DESTILADOS,119 - WHISKY 12 ANOS DOSE,1,6,0,4,3,6,10,8,7,0,2,3,1,6,12,1,12,4,1,10,6,1,3,1,0,2,0,0,0,3,0,113
7593 - ESPETTO CARIOCA PIRATININGA,BEBIDAS,DESTILADOS,120 - TEQUILA OURO DOSE,0,1,3,3,7,6,10,4,0,2,0,0,0,1,0,0,0,0,0,2,4,2,0,1,0,0,0,0,0,5,0,51
7593 - ESPETTO CARIOCA PIRATININGA,BEBIDAS,CERVEJAS,127 - GARRAFA AMSTEL 600ML,15,16,17,3,16,5,26,17,22,15,15,2,3,0,1,2,9,19,0,0,6,5,5,0,0,0,0,3,7,5,0,234
7593 - ESPETTO CARIOCA PIRATININGA,BEBIDAS,CERVEJAS,129 - GARRAFA HEINEKEN 600ML,4,18,14,6,9,31,0,9,15,7,1,0,0,0,0,0,18,34,0,0,7,6,2,0,0,0,0,0,15,18,0,214
7593 - ESPETTO CARIOCA PIRATININGA,BEBIDAS,CERVEJAS,130 - LONG NECK SOL PREMIUM,3,1,0,4,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
7593 - ESPETTO CARIOCA PIRATININGA,BEBIDAS,CERVEJAS,131 - LONG NECK HEINEKEN,113,57,32,79,102,54,47,103,94,27,87,54,68,46,111,29,51,105,17,30,52,114,40,111,14,16,3,2,24,42,0,1724
7593 - ESPETTO CARIOCA PIRATININGA,BEBIDAS,CERVEJAS,132 - LONG NECK HEINEKEN SEM ALCOOL,12,16,22,6,2,7,4,11,39,0,8,2,23,6,8,0,0,0,4,0,3,0,15,0,0,0,10,0,7,8,0,213
7593 - ESPETTO CARIOCA PIRATININGA,BEBIDAS,CHOPP,133 - TULIPA AMSTEL,0,0,0,0,0,4,0,1,0,4,1,0,1,0,1,0,4,0,0,0,4,0,1,0,6,6,0,0,0,0,0,33
7593 - ESPETTO CARIOCA PIRATININGA,BEBIDAS,CHOPP,134 - TULIPA HEINEKEN,0,12,22,0,0,2,0,0,0,0,2,0,3,0,0,1,1,4,0,7,0,0,0,0,0,0,0,7,1,1,0,63
7593 - ESPETTO CARIOCA PIRATININGA,BEBIDAS,CHOPP,135 - CANECA ZERO GRAU AMSTEL,42,13,33,12,50,37,4,56,6,32,13,49,50,73,126,22,93,10,40,65,54,32,143,10,36,128,28,52,20,121,0,1450
7593 - ESPETTO CARIOCA PIRATININGA,BEBIDAS,CHOPP,136 - CANECA ZERO GRAU HEINEKEN,38,4,13,33,38,0,0,25,8,39,41,51,89,6,47,24,82,8,10,96,24,29,71,6,4,9,30,17,73,59,0,974
7593 - ESPETTO CARIOCA PIRATININGA,BEBIDAS,AGUAS E REFRIGERANTES,146 - AGUA SEM GAS,131,172,121,169,117,112,132,145,134,183,188,72,129,71,213,141,133,211,24,106,132,230,121,157,5,14,8,10,55,97,0,3533
7593 - ESPETTO CARIOCA PIRATININGA,BEBIDAS,AGUAS E REFRIGERANTES,147 - AGUA COM GAS,18,28,49,34,34,19,22,32,31,39,29,12,47,26,13,17,25,18,11,6,19,15,31,19,0,7,5,1,15,30,0,652
7593 - ESPETTO CARIOCA PIRATININGA,ALIMENTOS,CARIOCA DO SEU JEITO,154 - ALMOCO CARIOCA 1 ESPETTO,29,45,74,46,77,85,51,58,33,35,106,54,131,69,78,99,71,92,117,136,42,52,111,37,55,56,89,44,24,13,0,2009
7593 - ESPETTO CARIOCA PIRATININGA,ALIMENTOS,CARIOCA DO SEU JEITO,155 - ALMOCO DO SEU JEITO 2 ESPETTOS TRADICIONAIS,10,18,23,27,26,17,24,27,28,10,29,9,27,27,20,19,25,23,17,26,16,28,20,3,7,10,12,6,2,8,0,544
7593 - ESPETTO CARIOCA PIRATININGA,ALIMENTOS,MOLHOS,168 - MOLHO A CAMPANHA,7,11,11,15,12,14,4,12,16,4,12,6,16,20,17,10,11,15,11,14,10,18,8,3,1,7,9,6,1,4,0,305
7593 - ESPETTO CARIOCA PIRATININGA,ALIMENTOS,MOLHOS,170 - MOLHO CAESAR,0,1,6,5,3,0,3,1,0,3,1,0,3,0,2,2,0,1,1,2,1,3,1,0,1,1,1,0,0,0,0,42
7593 - ESPETTO CARIOCA PIRATININGA,ALIMENTOS,MOLHOS,171 - MOLHO BARBECUE,1,1,3,4,2,0,11,6,2,3,3,3,3,2,1,1,3,2,1,2,1,2,2,0,1,0,1,0,1,4,0,66
7593 - ESPETTO CARIOCA PIRATININGA,ALIMENTOS,MOLHOS,172 - MOLHO CHIMICHURRI HEINEKEN,0,0,2,1,3,2,2,4,3,0,6,0,2,3,0,2,4,2,3,2,1,2,3,0,1,0,0,0,0,0,0,48
7593 - ESPETTO CARIOCA PIRATININGA,ALIMENTOS,MOLHOS,173 - MOLHO PICLES,0,0,1,0,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7
7593 - ESPETTO CARIOCA PIRATININGA,ALIMENTOS,MOLHOS,174 - MOLHO MADEIRA,2,5,2,3,2,1,1,1,4,0,5,0,2,1,1,3,4,2,0,3,1,4,4,0,2,0,1,0,0,0,0,54
7593 - ESPETTO CARIOCA PIRATININGA,ALIMENTOS,MOLHOS,175 - MOLHO GELEIA DE PIMENTA DEFUMADA,0,1,1,0,4,0,3,2,1,0,2,1,1,1,0,1,5,1,1,3,2,0,2,0,1,2,0,0,0,0,0,35
7593 - ESPETTO CARIOCA PIRATININGA,ALIMENTOS,CARIOCA DO NOSSO JEITO,179 - STROGONOFF DE FRANGO INDIVIDUAL,1,1,0,0,2,1,2,3,0,1,2,1,5,0,0,3,3,3,2,0,1,0,1,1,0,0,0,1,0,0,0,34
7593 - ESPETTO CARIOCA PIRATININGA,ALIMENTOS,CARIOCA DO NOSSO JEITO,181 - FILE DE FRANGO A PARMEGIANA INDIVIDUAL,2,6,5,6,2,8,2,9,6,2,4,1,11,5,5,4,3,2,7,1,0,11,5,3,2,1,1,0,1,3,0,118
7593 - ESPETTO CARIOCA PIRATININGA,ALIMENTOS,CARIOCA DO NOSSO JEITO,182 - FILE DE CARNE  A MILANESA INDIVIDUAL,0,0,0,0,0,0,0,0,1,0,0,1,3,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,9
7593 - ESPETTO CARIOCA PIRATININGA,ALIMENTOS,CARIOCA DO NOSSO JEITO,183 - FILE CARNE A PARMEGIANA INDIVIDUAL,0,0,0,0,1,0,0,1,0,1,2,0,1,1,1,0,0,0,0,0,1,2,0,1,1,2,0,0,0,0,0,15
7593 - ESPETTO CARIOCA PIRATININGA,ALIMENTOS,CARIOCA DO NOSSO JEITO,185 - PICADINHO COM PIAMONTESE INDIVIDUAL,2,0,0,2,2,0,2,1,2,0,0,1,2,0,0,2,0,1,0,0,0,1,0,2,0,1,0,0,0,0,0,21
7593 - ESPETTO CARIOCA PIRATININGA,ALIMENTOS,CARIOCA DO NOSSO JEITO,186 - STROGONOFF DE CARNE,1,4,2,1,2,0,0,1,0,0,2,0,1,2,0,1,0,1,1,1,0,0,3,1,0,2,0,0,0,0,0,26
7593 - ESPETTO CARIOCA PIRATININGA,ALIMENTOS,FEIJOADA,188 - FEIJOADA 1 PESSOA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7593 - ESPETTO CARIOCA PIRATININGA,ALIMENTOS,BURGUERS,250 - CARIOCA BURGUER,4,8,4,0,2,1,0,1,2,9,0,3,6,2,5,3,0,0,1,2,2,5,2,1,0,0,2,6,3,1,0,75
7593 - ESPETTO CARIOCA PIRATININGA,ALIMENTOS,TABUAS,253 - TABUA DE CAMARAO,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,2,0,11
